x,y,z,layer_group,layer_id,segment_id,seq
-0.2712984479240454,-0.5842179143441213,-0.16886557397671761,plane,0,0,0
-0.26148648874998287,-0.5841939293731626,-0.17092391788474706,plane,0,0,1
-0.25156534264994274,-0.5841826619170613,-0.17236269327960807,plane,0,0,2
-0.24156838850996593,-0.5841785429592918,-0.17312403409711002,plane,0,0,3
-0.23155442782984723,-0.5841933658222086,-0.17360044578713876,plane,0,0,4
-0.22153058660488778,-0.5841999530396367,-0.17378329002284304,plane,0,0,5
-0.21150559724399876,-0.584200105275217,-0.17368207083718296,plane,0,0,6
-0.20148235687911076,-0.5841934358424393,-0.17346739808136769,plane,0,0,7
-0.19145827653597014,-0.5841845713974904,-0.17331109025268437,plane,0,0,8
-0.1814340840381973,-0.5841998502096294,-0.1734859099819839,plane,0,0,9
-0.17141811244394015,-0.584221384654696,-0.1739159030633856,plane,0,0,10
-0.1614225643167075,-0.5842570731087461,-0.1746915952865465,plane,0,0,11
-0.1514247093819016,-0.5842853170963574,-0.17543493595878976,plane,0,0,12
-0.14141313135930975,-0.5843415369983685,-0.175957418999547,plane,0,0,13
-0.1313892029401928,-0.5843664548999968,-0.17614033143031116,plane,0,0,14
-0.12136483898601065,-0.5843559880184948,-0.17628271225723618,plane,0,0,15
-0.11134424103906093,-0.5843238054661011,-0.17660059764598254,plane,0,0,16
-0.10134008871173676,-0.5841613608473911,-0.17722257800169836,plane,0,0,17
-0.09139378066927419,-0.5841041761584341,-0.17848382233528864,plane,0,0,18
-0.08149070825098562,-0.5838187510283442,-0.1800200927797702,plane,0,0,19
-0.07159108966719067,-0.5835263791839876,-0.18156113172085245,plane,0,0,20
-0.06158325731539263,-0.5838621383713368,-0.1820961661227113,plane,0,0,21
-0.05157708561715511,-0.5843023270928607,-0.18164729541709773,plane,0,0,22
-0.04159501182263926,-0.5851745911272802,-0.181308607191385,plane,0,0,23
-0.03159510824466265,-0.5857922549797187,-0.18172041618371942,plane,0,0,24
-0.02159763282529241,-0.58574690741959,-0.18103423118793333,plane,0,0,25
-0.011687602311756654,-0.5851082147243999,-0.1796285675496296,plane,0,0,26
-0.0016987468529927018,-0.5847473921453209,-0.1788871802187554,plane,0,0,27
0.00828025991594437,-0.5843907510755646,-0.17798707759955007,plane,0,0,28
