x y z nx ny nz
0.201593 -0.638071 -0.168952 0.000479 -0.011339 0.999936
0.212084 -0.623157 -0.168788 0.000479 -0.011339 0.999936
0.207074 -0.623116 -0.168785 0.000479 -0.011339 0.999936
0.202064 -0.623075 -0.168782 0.000479 -0.011339 0.999936
0.197054 -0.623034 -0.168779 0.000479 -0.011339 0.999936
0.192045 -0.622993 -0.168776 0.000479 -0.011339 0.999936
0.187035 -0.622952 -0.168773 0.000479 -0.011339 0.999936
0.182025 -0.622911 -0.168770 0.000479 -0.011339 0.999936
0.177015 -0.622870 -0.168768 0.000479 -0.011339 0.999936
0.172005 -0.622829 -0.168765 0.000479 -0.011339 0.999936
0.166995 -0.622788 -0.168762 0.000479 -0.011339 0.999936
0.161985 -0.622746 -0.168759 0.000479 -0.011339 0.999936
0.156976 -0.622705 -0.168756 0.000479 -0.011339 0.999936
0.151966 -0.622664 -0.168753 0.000479 -0.011339 0.999936
0.146956 -0.622623 -0.168750 0.000479 -0.011339 0.999936
0.141946 -0.622582 -0.168748 0.000479 -0.011339 0.999936
0.136936 -0.622541 -0.168745 0.000479 -0.011339 0.999936
0.131926 -0.622500 -0.168742 0.000479 -0.011339 0.999936
0.126916 -0.622459 -0.168739 0.000479 -0.011339 0.999936
0.121907 -0.622418 -0.168736 0.000479 -0.011339 0.999936
0.116897 -0.622377 -0.168733 0.000479 -0.011339 0.999936
0.111887 -0.622335 -0.168730 0.000479 -0.011339 0.999936
0.106877 -0.622294 -0.168727 0.000479 -0.011339 0.999936
0.101867 -0.622253 -0.168725 0.000479 -0.011339 0.999936
0.096857 -0.622212 -0.168722 0.000479 -0.011339 0.999936
0.091847 -0.622171 -0.168719 0.000479 -0.011339 0.999936
0.086838 -0.622130 -0.168716 0.000479 -0.011339 0.999936
0.081828 -0.622089 -0.168713 0.000479 -0.011339 0.999936
0.076818 -0.622048 -0.168710 0.000479 -0.011339 0.999936
0.071808 -0.622007 -0.168707 0.000479 -0.011339 0.999936
0.066798 -0.621966 -0.168705 0.000479 -0.011339 0.999936
0.061788 -0.621925 -0.168702 0.000479 -0.011339 0.999936
0.056778 -0.621883 -0.168699 0.000479 -0.011339 0.999936
0.051769 -0.621842 -0.168696 0.000479 -0.011339 0.999936
0.046759 -0.621801 -0.168693 0.000479 -0.011339 0.999936
0.041749 -0.621760 -0.168690 0.000479 -0.011339 0.999936
0.036739 -0.621719 -0.168687 0.000479 -0.011339 0.999936
0.031729 -0.621678 -0.168685 0.000479 -0.011339 0.999936
0.026719 -0.621637 -0.168682 0.000479 -0.011339 0.999936
0.021709 -0.621596 -0.168679 0.000479 -0.011339 0.999936
0.016699 -0.621555 -0.168676 0.000479 -0.011339 0.999936
0.011690 -0.621514 -0.168673 0.000479 -0.011339 0.999936
0.006680 -0.621472 -0.168670 0.000479 -0.011339 0.999936
0.001670 -0.621431 -0.168667 0.000479 -0.011339 0.999936
-0.003340 -0.621390 -0.168664 0.000479 -0.011339 0.999936
-0.008350 -0.621349 -0.168662 0.000479 -0.011339 0.999936
-0.013360 -0.621308 -0.168659 0.000479 -0.011339 0.999936
-0.018370 -0.621267 -0.168656 0.000479 -0.011339 0.999936
-0.023379 -0.621226 -0.168653 0.000479 -0.011339 0.999936
-0.028389 -0.621185 -0.168650 0.000479 -0.011339 0.999936
-0.033399 -0.621144 -0.168647 0.000479 -0.011339 0.999936
-0.038409 -0.621103 -0.168644 0.000479 -0.011339 0.999936
-0.043419 -0.621062 -0.168642 0.000479 -0.011339 0.999936
-0.048429 -0.621020 -0.168639 0.000479 -0.011339 0.999936
-0.053439 -0.620979 -0.168636 0.000479 -0.011339 0.999936
-0.058448 -0.620938 -0.168633 0.000479 -0.011339 0.999936
-0.063458 -0.620897 -0.168630 0.000479 -0.011339 0.999936
-0.068468 -0.620856 -0.168627 0.000479 -0.011339 0.999936
-0.073478 -0.620815 -0.168624 0.000479 -0.011339 0.999936
-0.078488 -0.620774 -0.168621 0.000479 -0.011339 0.999936
-0.083498 -0.620733 -0.168619 0.000479 -0.011339 0.999936
-0.088508 -0.620692 -0.168616 0.000479 -0.011339 0.999936
-0.093517 -0.620651 -0.168613 0.000479 -0.011339 0.999936
-0.098527 -0.620609 -0.168610 0.000479 -0.011339 0.999936
-0.103537 -0.620568 -0.168607 0.000479 -0.011339 0.999936
-0.108547 -0.620527 -0.168604 0.000479 -0.011339 0.999936
-0.113557 -0.620486 -0.168601 0.000479 -0.011339 0.999936
-0.118567 -0.620445 -0.168599 0.000479 -0.011339 0.999936
-0.123577 -0.620404 -0.168596 0.000479 -0.011339 0.999936
-0.128586 -0.620363 -0.168593 0.000479 -0.011339 0.999936
-0.133596 -0.620322 -0.168590 0.000479 -0.011339 0.999936
-0.138606 -0.620281 -0.168587 0.000479 -0.011339 0.999936
-0.143616 -0.620240 -0.168584 0.000479 -0.011339 0.999936
-0.148626 -0.620199 -0.168581 0.000479 -0.011339 0.999936
-0.153636 -0.620157 -0.168578 0.000479 -0.011339 0.999936
-0.158646 -0.620116 -0.168576 0.000479 -0.011339 0.999936
-0.163655 -0.620075 -0.168573 0.000479 -0.011339 0.999936
-0.168665 -0.620034 -0.168570 0.000479 -0.011339 0.999936
-0.173675 -0.619993 -0.168567 0.000479 -0.011339 0.999936
-0.178685 -0.619952 -0.168564 0.000479 -0.011339 0.999936
-0.183695 -0.619911 -0.168561 0.000479 -0.011339 0.999936
-0.188705 -0.619870 -0.168558 0.000479 -0.011339 0.999936
-0.193715 -0.619829 -0.168556 0.000479 -0.011339 0.999936
-0.198724 -0.619788 -0.168553 0.000479 -0.011339 0.999936
-0.203734 -0.619746 -0.168550 0.000479 -0.011339 0.999936
-0.208744 -0.619705 -0.168547 0.000479 -0.011339 0.999936
-0.213754 -0.619664 -0.168544 0.000479 -0.011339 0.999936
-0.218764 -0.619623 -0.168541 0.000479 -0.011339 0.999936
-0.223774 -0.619582 -0.168538 0.000479 -0.011339 0.999936
-0.228784 -0.619541 -0.168535 0.000479 -0.011339 0.999936
-0.233794 -0.619500 -0.168533 0.000479 -0.011339 0.999936
-0.238803 -0.619459 -0.168530 0.000479 -0.011339 0.999936
-0.243813 -0.619418 -0.168527 0.000479 -0.011339 0.999936
-0.248823 -0.619377 -0.168524 0.000479 -0.011339 0.999936
-0.253833 -0.619336 -0.168521 0.000479 -0.011339 0.999936
-0.258843 -0.619294 -0.168518 0.000479 -0.011339 0.999936
-0.263853 -0.619253 -0.168515 0.000479 -0.011339 0.999936
-0.268863 -0.619212 -0.168513 0.000479 -0.011339 0.999936
-0.273872 -0.619171 -0.168510 0.000479 -0.011339 0.999936
-0.278882 -0.619130 -0.168507 0.000479 -0.011339 0.999936
-0.283892 -0.619089 -0.168504 0.000479 -0.011339 0.999936
-0.285304 -0.604078 -0.168333 0.000479 -0.011339 0.999936
-0.280276 -0.604119 -0.168336 0.000479 -0.011339 0.999936
-0.275247 -0.604160 -0.168339 0.000479 -0.011339 0.999936
-0.270218 -0.604202 -0.168342 0.000479 -0.011339 0.999936
-0.265190 -0.604243 -0.168345 0.000479 -0.011339 0.999936
-0.260161 -0.604284 -0.168347 0.000479 -0.011339 0.999936
-0.255132 -0.604325 -0.168350 0.000479 -0.011339 0.999936
-0.250104 -0.604367 -0.168353 0.000479 -0.011339 0.999936
-0.245075 -0.604408 -0.168356 0.000479 -0.011339 0.999936
-0.240046 -0.604449 -0.168359 0.000479 -0.011339 0.999936
-0.235018 -0.604490 -0.168362 0.000479 -0.011339 0.999936
