x y z nx ny nz
-0.258947 -0.407009 -0.072704 -0.028830 -0.844399 0.534939
-0.264767 -0.406416 -0.072704 -0.052270 -0.844789 0.532540
-0.271098 -0.405682 -0.072704 -0.072728 -0.842081 0.534425
-0.276839 -0.404807 -0.072704 -0.097177 -0.836468 0.539331
-0.282121 -0.404119 -0.072704 -0.092288 -0.834772 0.542806
-0.286872 -0.403408 -0.072704 -0.072103 -0.833376 0.547984
-0.292529 -0.403194 -0.072704 -0.030787 -0.834300 0.550451
-0.298258 -0.402983 -0.072704 0.025057 -0.832206 0.553901
-0.303958 -0.403106 -0.072704 0.069610 -0.826875 0.558061
-0.309086 -0.403088 -0.072704 0.120261 -0.814520 0.567533
-0.314015 -0.403658 -0.072704 0.182312 -0.790996 0.584027
-0.318881 -0.404553 -0.072704 0.250326 -0.761903 0.597362
-0.323754 -0.406509 -0.072704 0.314701 -0.720085 0.618418
-0.328662 -0.408595 -0.072704 0.357977 -0.687876 0.631410
-0.333053 -0.411144 -0.072704 0.393708 -0.656015 0.643925
-0.336687 -0.413001 -0.072704 0.432893 -0.613194 0.660755
-0.339235 -0.415403 -0.072704 0.479002 -0.568445 0.668900
-0.341761 -0.417917 -0.072704 0.488903 -0.555203 0.672847
-0.344415 -0.421706 -0.072704 0.532177 -0.513287 0.673294
-0.348083 -0.426111 -0.072704 0.552978 -0.487710 0.675540
-0.352666 -0.431756 -0.072704 0.594650 -0.441784 0.671728
-0.357376 -0.438343 -0.072704 0.655486 -0.357061 0.665467
-0.361416 -0.445778 -0.072704 0.691464 -0.290765 0.661312
-0.363554 -0.453188 -0.072704 0.750095 -0.149733 0.644156
-0.364954 -0.459883 -0.072704 0.765920 -0.094955 0.635885
-0.365570 -0.465662 -0.072704 0.774697 -0.057578 0.629705
-0.366124 -0.471045 -0.072704 0.781656 -0.026319 0.623154
-0.365978 -0.477264 -0.072704 0.785069 -0.020925 0.619055
-0.365828 -0.484566 -0.072704 0.781939 -0.046537 0.621616
-0.366167 -0.491995 -0.072704 0.772657 -0.088006 0.628694
-0.366930 -0.497967 -0.072704 0.756902 -0.111169 0.644003
-0.368053 -0.502393 -0.072704 0.754919 -0.119057 0.644921
-0.368688 -0.506811 -0.072704 0.748992 -0.117963 0.651993
-0.369722 -0.511468 -0.072704 0.739327 -0.087383 0.667653
-0.370655 -0.516336 -0.072704 0.736778 -0.044830 0.674647
-0.371605 -0.520035 -0.072704 0.740292 0.009016 0.672225
-0.371613 -0.523571 -0.072704 0.737804 0.044388 0.673554
-0.370614 -0.527076 -0.072704 0.738594 0.068343 0.670677
-0.369463 -0.531479 -0.072704 0.732306 0.155166 0.663062
-0.368163 -0.535707 -0.072704 0.720756 0.211468 0.660146
-0.367161 -0.540428 -0.072704 0.723922 0.219438 0.654052
-0.365741 -0.546100 -0.072704 0.738131 0.179967 0.650211
-0.364311 -0.553326 -0.072704 0.760957 0.118913 0.637813
-0.363127 -0.560593 -0.072704 0.775002 0.042160 0.630551
-0.362500 -0.567298 -0.072704 0.780845 -0.018591 0.624448
-0.362743 -0.574089 -0.072704 0.780440 -0.037166 0.624125
-0.363240 -0.581666 -0.072704 0.784892 -0.026008 0.619086
-0.363564 -0.589079 -0.072704 0.786767 0.001079 0.617250
-0.363326 -0.595373 -0.072704 0.785452 0.025466 0.618399
-0.362631 -0.600787 -0.072704 0.789074 0.044497 0.612684
-0.362255 -0.605941 -0.072704 0.788942 0.063007 0.611229
-0.361891 -0.610919 -0.072704 0.794930 0.080075 0.601394
-0.361739 -0.615540 -0.072704 0.796789 0.089275 0.597626
-0.361000 -0.620197 -0.072704 0.797673 0.096583 0.595307
-0.360282 -0.625230 -0.072704 0.796593 0.107272 0.594922
-0.359347 -0.630447 -0.072704 0.799200 0.125180 0.587885
-0.358492 -0.635636 -0.072704 0.796915 0.135743 0.588642
-0.357218 -0.641167 -0.072704 0.782434 0.198339 0.590305
-0.355236 -0.647757 -0.072704 0.754353 0.268426 0.599081
-0.351298 -0.655617 -0.072704 0.692381 0.384476 0.610563
-0.345144 -0.663386 -0.072704 0.587750 0.526354 0.614412
-0.337900 -0.669785 -0.072704 0.408407 0.711270 0.572100
-0.331120 -0.673881 -0.072704 0.303214 0.789533 0.533572
-0.325297 -0.676326 -0.072704 0.221409 0.833084 0.506902
-0.319011 -0.677677 -0.072704 0.200703 0.860460 0.468323
-0.312311 -0.678692 -0.072704 0.141084 0.899080 0.414428
-0.305426 -0.679466 -0.072704 0.120386 0.918475 0.376710
-0.298738 -0.680170 -0.072704 0.110483 0.924015 0.366047
-0.291847 -0.680779 -0.072704 0.070160 0.928776 0.363939
-0.284393 -0.681310 -0.072704 0.046270 0.934142 0.353891
-0.277091 -0.681778 -0.072704 0.032802 0.933059 0.358225
-0.270315 -0.682080 -0.072704 0.030920 0.931053 0.363571
-0.264304 -0.682380 -0.072704 0.033165 0.929576 0.367136
-0.258770 -0.682664 -0.072704 0.035982 0.927978 0.370895
-0.253194 -0.682963 -0.072704 0.036253 0.927699 0.371564
-0.247275 -0.683139 -0.072704 0.034843 0.927260 0.372793
-0.241006 -0.683384 -0.072704 0.019822 0.930902 0.364731
-0.234832 -0.683664 -0.072704 0.006047 0.924891 0.380184
-0.229108 -0.683965 -0.072704 0.000977 0.929926 0.367746
-0.223831 -0.684078 -0.072704 0.000846 0.925742 0.378154
-0.218471 -0.684040 -0.072704 -0.002776 0.923642 0.383246
-0.212624 -0.683923 -0.072704 -0.003037 0.927266 0.374390
-0.206210 -0.683632 -0.072704 0.000957 0.920255 0.391319
-0.200372 -0.683636 -0.072704 0.002310 0.917850 0.396922
-0.195621 -0.683637 -0.072704 -0.003047 0.916357 0.400350
-0.191977 -0.683785 -0.072704 -0.006699 0.914204 0.405198
-0.188633 -0.683685 -0.072704 -0.014333 0.911451 0.411159
-0.185111 -0.683619 -0.072704 -0.023038 0.912679 0.408027
-0.181892 -0.683826 -0.072704 -0.033156 0.910371 0.412462
-0.178306 -0.683760 -0.072704 -0.041449 0.909982 0.412571
-0.174535 -0.683639 -0.072704 -0.055299 0.909035 0.413033
-0.169093 -0.682984 -0.072704 -0.068204 0.905152 0.419580
-0.162668 -0.682369 -0.072704 -0.076841 0.914887 0.396330
-0.155234 -0.681552 -0.072704 -0.074851 0.922257 0.379262
-0.148052 -0.680751 -0.072704 -0.055630 0.931392 0.359742
-0.141120 -0.680312 -0.072704 -0.030611 0.940099 0.339526
-0.134199 -0.680206 -0.072704 0.004217 0.950435 0.310896
-0.126913 -0.680594 -0.072704 0.028106 0.949192 0.313438
-0.118545 -0.681062 -0.072704 0.081927 0.952257 0.294098
-0.109867 -0.681937 -0.072704 0.097733 0.947004 0.305992
-0.101369 -0.682792 -0.072704 0.101461 0.942172 0.319401
-0.094405 -0.683766 -0.072704 0.087083 0.934559 0.344988
